Spacecraft,Date,Operator,Mission,Outcome,Remarks,Carrier_rocket
Galileo,10/18/1989,"NASA
 United States",Gravity assist at Venus,Successful,"Flyby on 10 February 1990 en route to Jupiter; observed Venus during 
closest pass.","Space Shuttle Atlantis
STS-34 / IUS"
Cassini,10/15/1997,"NASA
 United States",Gravity assist,Successful,"Flybys on 26 April 1998 and 24 June 1999 en route to Saturn; observed Venus 
during closest pass.",Titan IV(401)B
MESSENGER,8/3/2004,"NASA
 United States",Gravity assist,Successful,"Flybys on 24 October 2006 and 5 June 2007 en route to Mercury; observed 
Venus during closest pass.",Delta II 7925H
Venus Express,11/9/2005,ESA,Orbiter,Successful,Entered orbit 11 April 2006. Full communications lost on 28 November 2014 ,Soyuz-FG/Fregat
Akatsuki,5/20/2010,"JAXA
 Japan",Orbiter,Operational,"Flew past Venus on 6 December 2010 after failing to enter orbit. Insertion 
was successfully reattempted on 7 December 2015.",H-IIA 202
IKAROS,5/20/2010,"JAXA
 Japan",Flyby,Successful,"Experimental solar sail released from the *Akatsuki* spacecraft. Flew past 
Venus on 8 December 2010 but did not make observations.",H-IIA 202
Shin'en,5/20/2010,"UNISEC
 Japan",Flyby,Spacecraft failure,"Communications never established after launch. Flew past Venus in December 
2010",H-IIA 202
Parker Solar Probe,8/12/2018,"NASA
 United States",Gravity assist,Operational,"Flybys on 10 October 2018, 26 December 2019, 11 July 2020, 20 February 
2021, 16 October 2021, 21 August 2023, and 6 November 2024 to lower 
perihelion for solar observation.",Delta IV Heavy/Star 48BV
BepiColombo,10/20/2018,ESA,Gravity assist,Operational,"Flybys on 15 October 2020 and 11 August 2021 en route to Mercury; observed 
Venus during closest pass.",Ariane 5 ECA
Solar Orbiter,2/10/2020,ESA,Gravity assist,Operational,"Flybys on 27 Dec 2020, 8 Aug 2021, 3 Sep 2022, 18 Feb 2025, 24 Dec 2026, 17 
Mar 2028, 10 Jun 2029, and 2 Sep 2030 to adjust orbital inclination.",Atlas V 411
BepiColombo,10/20/2018,ESA,Gravity assist,Operational,N/A,Atlas V 411
Solar Orbiter,2/10/2020,ESA,Gravity assist,Operational,N/A,Atlas V 411
